x1,x2
-1.67E+00,3.81E+00
9.45E-01,-9.02E-01
-9.59E-01,2.86E+00
-2.19E+00,3.57E+00
-1.97E+00,3.07E+00
-2.23E+00,3.68E+00
-1.56E-01,9.83E-01
-1.71E+00,3.80E+00
-2.25E+00,3.43E+00
-1.80E+00,3.33E+00
2.56E-01,1.54E-01
1.10E+00,-8.19E-01
1.35E+00,-9.98E-01
-1.10E+00,3.05E+00
1.03E+00,-9.39E-01
-2.28E+00,3.72E+00
-9.03E-01,2.63E+00
-8.27E-01,2.46E+00
-2.43E+00,4.21E+00
6.25E-01,-3.81E-01
-2.29E+00,3.68E+00
-8.96E-01,2.58E+00
5.95E-01,-3.08E-01
-1.52E+00,3.50E+00
-2.45E+00,3.62E+00
-2.37E+00,3.68E+00
-1.19E+00,2.78E+00
-2.36E+00,3.64E+00
9.88E-01,-5.78E-01
8.27E-01,-2.08E-01
-1.87E+00,3.12E+00
-1.71E+00,3.84E+00
-6.48E-01,2.17E+00
8.83E-01,-4.94E-01
1.36E+00,-1.29E+00
-2.58E+00,3.80E+00
1.06E+00,-7.50E-01
-1.27E+00,2.03E+00
-1.51E+00,3.52E+00
2.77E-01,2.21E-01
-2.39E+00,3.98E+00
8.46E-01,-3.75E-01
-1.43E+00,3.23E+00
9.36E-01,-9.09E-01
7.91E-01,-5.48E-01
-2.09E+00,3.45E+00
1.17E+00,-1.06E+00
-1.62E+00,2.29E+00
-1.88E+00,3.31E+00
9.29E-01,-8.28E-01
-2.35E+00,3.76E+00
3.74E-01,4.69E-01
-2.59E+00,4.23E+00
-1.89E+00,3.23E+00
6.90E-01,-4.96E-01
-1.45E+00,3.36E+00
-1.41E+00,3.47E+00
-2.18E+00,3.75E+00
-2.85E+00,4.22E+00
-1.00E+00,3.19E+00
6.63E-01,-3.86E-01
1.40E+00,-1.00E+00
-1.38E+00,3.28E+00
-2.75E+00,4.39E+00
1.19E+00,-9.18E-01
-2.87E+00,4.30E+00
-9.39E-01,2.56E+00
6.86E-01,-2.58E-01
-1.50E+00,3.54E+00
6.33E-01,-1.93E-01
-1.63E+00,2.81E+00
-2.01E+00,3.71E+00
-3.02E+00,4.58E+00
-1.83E+00,3.13E+00
6.22E-01,-4.13E-02
-1.30E+00,3.40E+00
9.88E-01,-6.74E-01
-2.08E+00,3.21E+00
-1.23E+00,3.06E+00
-1.21E+00,3.16E+00
-2.43E+00,3.66E+00
-9.51E-01,2.89E+00
1.44E+00,-1.27E+00
-1.47E+00,3.27E+00
-1.71E+00,3.94E+00
-6.34E-01,2.69E+00
5.51E-01,-3.00E-01
-2.73E+00,4.26E+00
-1.54E+00,3.80E+00
-1.27E+00,3.01E+00
-1.74E+00,3.01E+00
1.16E+00,-6.47E-01
-2.68E+00,4.13E+00
-6.69E-01,2.48E+00
1.16E+00,-9.55E-01
9.86E-01,-7.96E-01
